dataset,consensus_votes,vote_fraction_of_pool,n_samples,iKnow_Hit1,TFS_Hit1,delta_Hit1_pp,iKnow_MRR,TFS_MRR,delta_MRR_pp,wrong_to_correct,correct_to_wrong,net_rescued
UrbanSound8K,39,0.8297872340425532,124,62.096774193548384,69.35483870967742,7.258064516129033,78.16532258064517,81.12231182795698,2.956989247311828,14,5,9
UrbanSound8K,40,0.851063829787234,145,73.79310344827587,76.55172413793103,2.7586206896551726,84.86288998357965,86.29967159277503,1.4367816091954022,10,6,4
UrbanSound8K,41,0.8723404255319149,129,71.31782945736434,77.51937984496125,6.2015503875969,83.45884090070138,86.09449981543005,2.635658914728682,8,0,8
UrbanSound8K,42,0.8936170212765957,180,75.55555555555556,86.66666666666667,11.11111111111111,85.93981481481481,91.79166666666664,5.851851851851852,21,1,20
UrbanSound8K,43,0.9148936170212766,247,73.27935222672065,83.40080971659918,10.121457489878543,84.81588586851746,89.87661461345672,5.060728744939271,27,2,25
UrbanSound8K,44,0.9361702127659575,301,82.39202657807309,86.37873754152824,3.9867109634551494,89.94462901439645,91.81616832779623,1.8715393133997786,14,2,12
UrbanSound8K,45,0.9574468085106383,456,82.01754385964912,84.86842105263158,2.850877192982456,89.47533764967976,91.08352478418269,1.6081871345029242,14,1,13
UrbanSound8K,46,0.9787234042553191,1156,88.14878892733564,89.27335640138409,1.124567474048443,93.21243203163618,93.97367770637666,0.7612456747404844,14,1,13
UrbanSound8K,47,1.0,4561,98.24599868449901,98.3117737338303,0.065775049331287,98.83083109732965,98.91049199040867,0.07966089307900313,3,0,3
FSD50K,11,0.23404255319148937,1,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0,0,0
FSD50K,12,0.2553191489361702,3,33.33333333333333,33.33333333333333,0.0,61.11111111111111,55.55555555555555,-5.555555555555558,1,1,0
FSD50K,13,0.2765957446808511,4,0.0,25.0,25.0,27.916666666666668,52.08333333333333,24.16666666666667,1,0,1
FSD50K,14,0.2978723404255319,14,57.14285714285714,42.857142857142854,-14.285714285714285,69.88095238095237,63.92857142857141,-5.952380952380952,1,3,-2
FSD50K,15,0.3191489361702128,38,42.10526315789473,31.57894736842105,-10.526315789473683,59.408662587842144,52.43497837731583,-6.973684210526317,3,7,-4
FSD50K,16,0.3404255319148936,53,20.754716981132077,32.075471698113205,11.320754716981133,44.27710563067412,50.11268514549892,5.835579514824797,10,4,6
FSD50K,17,0.3617021276595745,79,30.37974683544304,29.11392405063291,-1.2658227848101267,46.37319599575572,46.840847191255016,0.4676511954992971,11,12,-1
FSD50K,18,0.3829787234042553,96,26.041666666666668,23.958333333333336,-2.083333333333333,45.81120239603096,43.79731350714207,-2.013888888888889,12,14,-2
FSD50K,19,0.40425531914893614,124,32.25806451612903,29.838709677419356,-2.4193548387096775,51.05128329979773,49.22908667921402,-1.822196620583718,15,18,-3
FSD50K,20,0.425531914893617,149,38.25503355704698,34.22818791946309,-4.026845637583892,55.24699661206074,53.46021702326773,-1.7867795887930114,17,23,-6
FSD50K,21,0.44680851063829785,211,34.59715639810427,30.33175355450237,-4.265402843601896,52.04186697921155,48.40261482037846,-3.639252158833102,23,32,-9
FSD50K,22,0.46808510638297873,211,33.649289099526065,39.33649289099526,5.687203791469194,51.779251918176016,54.606491818875625,2.8272399006996167,33,21,12
FSD50K,23,0.48936170212765956,267,35.580524344569284,37.07865168539326,1.4981273408239701,52.02141554211459,53.80237386801674,1.7809583259021464,32,28,4
FSD50K,24,0.5106382978723404,288,44.44444444444444,45.48611111111111,1.0416666666666665,59.92206114579351,60.900070405052766,0.9780092592592595,39,36,3
FSD50K,25,0.5319148936170213,276,43.47826086956522,46.73913043478261,3.260869565217391,59.03430058815427,60.35676435627021,1.322463768115942,35,26,9
FSD50K,26,0.5531914893617021,303,44.554455445544555,45.87458745874587,1.3201320132013201,61.57735545770508,62.208204256870715,0.6308487991656305,37,33,4
